Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAPC3216X135_16290819,2,1uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C3, C4, C5, C6, C7, C8, C9",CAPC2012X110_16290819,15,100nF,
C18,CAPC3216X135_16290819,1,22uF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_SK6812_SIDE-A_vf.9ihByBvTROueMU61nXNTbA,8,SK6812_SIDE-A,
"J1, J2",CONN3X2_NPPN032AFCN-RC_SUL_vf.TnALXNQpQbKa17UGSM3jDw,2,NPPN032AFCN-RCCONN3X2_NPPN032AFCN-RC_SUL,
"MAG1, MAG2, MAG3",SOP95P280X110-6N-V_vf.MgUPDs8QTrSiZWytZ2VEDw,3,TLI493D-A2B6,
"R1, R2",RESC2012X65_16378527,2,10K,
RN1,RESCAF80P320X160X60-8N_vf.j0KZjKIVRhWMp-VC_KV2vA,1,CAY16-103J4LF,
"S1, S2",SW_TS32-7-35-BK-160-RA-SMT-TR_vf.X5FRariuQbmkx5TF_kiCSQ,2,TS32-7-35-BK-160-RA-SMT-TR,
"U1, U2, U3, U4",SOT95P280X100-5N_vf.cdMrt1LeQPaWmu_AalG1Eg,4,AP22816BKEWT-7,
U5,SOT95P280X145-5N_vf.s1_3h01YRRe2BlOdhheUSQ,1,SN74AHCT1G125DBVR,
